Connection Type,Element 1 ID,Element 1 Name,Element 2 ID,Element 2 Name,Measurement Type,Measurement Value,Unit
"surface","3334","Tragwerk","456","AW 1.1","Area","0.75","m²"
"surface","3432","Tragwerk","3119","AW 1.1","Area","0.05","m²"
"surface","3432","Tragwerk","5767","Tragwerk","Area","0.05","m²"
"line","3773","Tragwerk","5338","Tragwerk","Length","0.20","m"
"surface","3806","Tragwerk","153","AW 1.1","Area","0.75","m²"
"surface","3806","Tragwerk","617","AW 1.1","Area","0.75","m²"
"surface","3973","Tragwerk","5650","Tragwerk","Area","0.06","m²"
"line","4007","Tragwerk","617","AW 1.1","Length","0.30","m"
"line","4007","Tragwerk","1243","AW 1.2","Length","0.30","m"
"line","4007","Tragwerk","2340","AW 1.1","Length","0.30","m"
"line","4007","Tragwerk","2708","AW 1.2","Length","0.30","m"
"line","4007","Tragwerk","3700","Tragwerk","Length","0.20","m"
"line","4299","Tragwerk","5133","Tragwerk","Length","0.20","m"
"surface","4331","Tragwerk","4896","Tragwerk","","",""
"line","4396","Tragwerk","4232","Tragwerk","Length","0.20","m"
"line","4421","Tragwerk","4775","Tragwerk","Length","0.20","m"
"line","4445","Tragwerk","3467","Tragwerk","Length","0.20","m"
"surface","4604","Tragwerk","617","AW 1.1","Area","0.87","m²"
"surface","4604","Tragwerk","2708","AW 1.2","Area","0.87","m²"
"line","4604","Tragwerk","3620","Tragwerk","Length","0.20","m"
"line","4808","Tragwerk","3515","Tragwerk","Length","0.20","m"
"line","4864","Tragwerk","5338","Tragwerk","Length","0.20","m"
"line","5313","Tragwerk","5516","Tragwerk","Length","0.20","m"
"line","5363","Tragwerk","3620","Tragwerk","Length","0.20","m"
"line","5417","Tragwerk","4192","Tragwerk","Length","0.20","m"
"line","5442","Tragwerk","4635","Tragwerk","Length","0.20","m"
"line","5467","Tragwerk","5516","Tragwerk","Length","0.20","m"
"surface","5492","Tragwerk","5388","Massivbau","Area","0.06","m²"
"surface","5492","Tragwerk","5675","Tragwerk","Area","0.06","m²"
"surface","5566","Tragwerk","85","AW 1.1","Area","0.05","m²"
"surface","5566","Tragwerk","5767","Tragwerk","Area","0.05","m²"
"line","5798","Tragwerk","361","AW 1.1","Length","0.30","m"
"line","5798","Tragwerk","4735","Tragwerk","Length","0.20","m"
"surface","5918","Tragwerk","5388","Massivbau","Area","0.06","m²"
"surface","5918","Tragwerk","5675","Tragwerk","Area","0.06","m²"
"point","46","AW 1.1","675","AW 1.2","Point","N/A","N/A"
"line","46","AW 1.1","1295","FA 2.2","Length","6.10","m"
"point","46","AW 1.1","1538","AW 1.1","Point","N/A","N/A"
"line","46","AW 1.1","1978","AW 1.1","Length","3.04","m"
"point","46","AW 1.1","2510","DE 9.1","Point","N/A","N/A"
"line","46","AW 1.1","2708","AW 1.2","Length","3.04","m"
"line","85","AW 1.1","489","AW 1.1","Length","3.04","m"
"surface","85","AW 1.1","957","DE 9.1","","",""
"surface","85","AW 1.1","1219","DE 9.1","Area","0.00","m²"
"line","85","AW 1.1","1769","AW 1.1","Length","3.94","m"
"point","85","AW 1.1","5767","Tragwerk","Point","N/A","N/A"
"surface","117","IW 3.3","425","IW 3.2","Area","0.56","m²"
"surface","117","IW 3.3","2035","IW 3.2","Area","0.56","m²"
"surface","117","IW 3.3","2510","DE 9.1","","",""
"surface","117","IW 3.3","2539","DE 11.1","","",""
"line","117","IW 3.3","2973","IW 3.3","Length","2.79","m"
"surface","117","IW 3.3","5338","Tragwerk","","",""
"surface","153","AW 1.1","186","Fenster 16.1","Area","8.18","m²"
"surface","153","AW 1.1","617","AW 1.1","Area","0.99","m²"
"point","153","AW 1.1","1393","AW 1.1","Point","N/A","N/A"
"surface","153","AW 1.1","1567","IS 15.1","Area","0.79","m²"
"point","153","AW 1.1","2116","AW 1.2","Point","N/A","N/A"
"line","153","AW 1.1","2510","DE 9.1","Length","0.33","m"
"surface","153","AW 1.1","3087","AW 1.1","","",""
"surface","186","Fenster 16.1","2927","FA 2.2","","",""
"surface","224","IW 3.2","1734","IW 3.4","Area","0.24","m²"
"surface","224","IW 3.2","2288","DE 9.2","Area","0.04","m²"
"line","224","IW 3.2","2593","IW 3.4","Length","0.04","m"
"surface","224","IW 3.2","2678","Tür 17.2","Area","1.80","m²"
"surface","264","Fenster 16.2","1567","IS 15.1","Area","4.01","m²"
"surface","264","Fenster 16.2","1830","FA 2.2","Area","4.01","m²"
"surface","297","Fenster 16.1","1295","FA 2.2","","",""
"line","297","Fenster 16.1","1567","IS 15.1","Length","2.20","m"
"line","297","Fenster 16.1","4073","Tragwerk","Length","6.10","m"
"surface","326","Tür 17.1","2539","DE 11.1","Area","0.16","m²"
"surface","326","Tür 17.1","3204","IW 3.2","Area","2.71","m²"
"surface","361","AW 1.1","456","AW 1.1","","",""
"surface","361","AW 1.1","1094","AW 1.2","","",""
"surface","361","AW 1.1","1830","FA 2.2","Area","20.17","m²"
"surface","395","Fenster 16.2","456","AW 1.1","Area","1.31","m²"
"surface","395","Fenster 16.2","1830","FA 2.2","Area","1.31","m²"
"surface","425","IW 3.2","1920","IW 3.2","Area","0.13","m²"
"surface","425","IW 3.2","2510","DE 9.1","","",""
"surface","425","IW 3.2","2539","DE 11.1","","",""
"surface","425","IW 3.2","2841","Tür 17.1","Area","1.43","m²"
"surface","425","IW 3.2","5338","Tragwerk","","",""
"line","456","AW 1.1","1295","FA 2.2","Length","0.34","m"
"surface","456","AW 1.1","1830","FA 2.2","Area","34.37","m²"
"line","456","AW 1.1","1891","AW 1.1","Length","0.34","m"
"surface","456","AW 1.1","2927","FA 2.2","Area","1.04","m²"
"surface","489","AW 1.1","1219","DE 9.1","Area","1.61","m²"
"surface","489","AW 1.1","1705","Fenster 16.1","Area","8.41","m²"
"surface","489","AW 1.1","3119","AW 1.1","Area","1.01","m²"
"surface","553","AW 1.2","802","AW 1.2","","",""
"surface","553","AW 1.2","1337","AW 1.1","Area","0.55","m²"
"point","553","AW 1.2","1365","AW 1.1","Point","N/A","N/A"
"point","553","AW 1.2","1422","DE 9.1","Point","N/A","N/A"
"surface","553","AW 1.2","3180","Fenster 16.2","Area","2.51","m²"
"line","588","AW 1.1","675","AW 1.2","Length","0.45","m"
"surface","588","AW 1.1","1295","FA 2.2","","",""
"line","588","AW 1.1","1538","AW 1.1","Length","0.45","m"
"line","617","AW 1.1","1243","AW 1.2","Length","0.35","m"
"line","617","AW 1.1","1393","AW 1.1","Length","0.35","m"
"surface","617","AW 1.1","1484","FA 2.2","Area","14.66","m²"
"point","617","AW 1.1","1677","IW 3.2","Point","N/A","N/A"
"line","617","AW 1.1","2340","AW 1.1","Length","0.35","m"
"line","617","AW 1.1","2510","DE 9.1","Length","4.82","m"
"point","617","AW 1.1","2539","DE 11.1","Point","N/A","N/A"
"surface","617","AW 1.1","2708","AW 1.2","Area","1.06","m²"
"point","617","AW 1.1","3087","AW 1.1","Point","N/A","N/A"
"surface","646","Fenster 16.2","2396","FA 2.1","Area","5.15","m²"
"line","646","Fenster 16.2","3369","Massivbau","Length","2.44","m"
"line","646","Fenster 16.2","3403","Massivbau","Length","2.11","m"
"line","646","Fenster 16.2","5706","Massivbau","Length","2.11","m"
"surface","646","Fenster 16.2","5739","Massivbau","Area","0.02","m²"
"point","675","AW 1.2","863","DA 13.1","Point","N/A","N/A"
"surface","675","AW 1.2","1484","FA 2.2","Area","7.58","m²"
"surface","675","AW 1.2","1538","AW 1.1","","",""
"surface","675","AW 1.2","1648","AW 1.1","","",""
"point","675","AW 1.2","1949","AW 1.1","Point","N/A","N/A"
"line","675","AW 1.2","1978","AW 1.1","Length","0.35","m"
"point","675","AW 1.2","2510","DE 9.1","Point","N/A","N/A"
"surface","675","AW 1.2","2654","Fenster 16.2","Area","4.81","m²"
"surface","675","AW 1.2","2708","AW 1.2","","",""
"surface","708","Fenster 16.3","2785","DA 13.2","Area","0.90","m²"
"surface","740","Tür 17.3","2927","FA 2.2","Area","0.00","m²"
"line","740","Tür 17.3","3403","Massivbau","Length","0.98","m"
"surface","773","Fenster 16.1","2927","FA 2.2","Area","11.62","m²"
"surface","802","AW 1.2","834","Fenster 16.2","Area","2.93","m²"
"point","802","AW 1.2","1337","AW 1.1","Point","N/A","N/A"
"surface","802","AW 1.2","1365","AW 1.1","Area","0.53","m²"
"point","802","AW 1.2","1422","DE 9.1","Point","N/A","N/A"
"line","834","Fenster 16.2","1365","AW 1.1","Length","1.90","m"
"surface","863","DA 13.1","2006","DA 13.1","Area","0.41","m²"
"point","863","DA 13.1","2116","AW 1.2","Point","N/A","N/A"
"surface","863","DA 13.1","2785","DA 13.2","Area","2.56","m²"
"line","863","DA 13.1","3063","DA 13.1","Length","3.13","m"
"surface","900","Fenster 16.2","1243","AW 1.2","Area","4.01","m²"
"surface","900","Fenster 16.2","1484","FA 2.2","Area","4.01","m²"
"surface","928","Fenster 16.2","1484","FA 2.2","Area","4.11","m²"
"surface","928","Fenster 16.2","2708","AW 1.2","Area","4.11","m²"
"surface","957","DE 9.1","1219","DE 9.1","Area","1.51","m²"
"surface","993","IW 3.1","2433","IW 3.1","Area","0.23","m²"
"surface","993","IW 3.1","2539","DE 11.1","","",""
"line","993","IW 3.1","3150","Treppe","Length","0.17","m"
"surface","1026","Tor 17.4","2927","FA 2.2","","",""
"surface","1094","AW 1.2","1830","FA 2.2","Area","8.06","m²"
"surface","1094","AW 1.2","1891","AW 1.1","","",""
"point","1126","Treppe","1567","IS 15.1","Point","N/A","N/A"
"line","1126","Treppe","2510","DE 9.1","Length","0.89","m"
"surface","1126","Treppe","3150","Treppe","Area","0.37","m²"
"surface","1161","Fenster 16.2","1484","FA 2.2","Area","4.11","m²"
"surface","1161","Fenster 16.2","2708","AW 1.2","Area","4.11","m²"
"line","1185","IW 3.2","2510","DE 9.1","Length","2.47","m"
"surface","1243","AW 1.2","1484","FA 2.2","Area","8.08","m²"
"surface","1243","AW 1.2","1648","AW 1.1","","",""
"surface","1243","AW 1.2","2340","AW 1.1","","",""
"line","1243","AW 1.2","2510","DE 9.1","Length","2.15","m"
"surface","1243","AW 1.2","2708","AW 1.2","","",""
"surface","1271","Fenster 16.2","1484","FA 2.2","Area","4.01","m²"
"surface","1271","Fenster 16.2","2116","AW 1.2","Area","4.01","m²"
"line","1271","Fenster 16.2","3087","AW 1.1","Length","1.90","m"
"point","1271","Fenster 16.2","3562","Tragwerk","Point","N/A","N/A"
"surface","1295","FA 2.2","1538","AW 1.1","Area","0.38","m²"
"surface","1295","FA 2.2","1830","FA 2.2","Area","0.42","m²"
"surface","1295","FA 2.2","1891","AW 1.1","Area","0.38","m²"
"line","1295","FA 2.2","1949","AW 1.1","Length","6.10","m"
"point","1295","FA 2.2","1978","AW 1.1","Point","N/A","N/A"
"point","1295","FA 2.2","5823","Bestand","Point","N/A","N/A"
"surface","1337","AW 1.1","1365","AW 1.1","","",""
"line","1337","AW 1.1","1422","DE 9.1","Length","1.00","m"
"line","1365","AW 1.1","1422","DE 9.1","Length","1.00","m"
"surface","1393","AW 1.1","1484","FA 2.2","Area","0.52","m²"
"surface","1393","AW 1.1","2116","AW 1.2","","",""
"line","1393","AW 1.1","2510","DE 9.1","Length","0.18","m"
"surface","1393","AW 1.1","3087","AW 1.1","Area","0.52","m²"
"surface","1484","FA 2.2","1806","Fenster 16.2","Area","4.34","m²"
"surface","1484","FA 2.2","2116","AW 1.2","Area","4.01","m²"
"surface","1484","FA 2.2","2396","FA 2.1","","",""
"surface","1484","FA 2.2","2654","Fenster 16.2","Area","4.23","m²"
"surface","1484","FA 2.2","2708","AW 1.2","Area","17.82","m²"
"surface","1484","FA 2.2","2927","FA 2.2","","",""
"line","1538","AW 1.1","1949","AW 1.1","Length","0.20","m"
"surface","1538","AW 1.1","1978","AW 1.1","","",""
"line","1538","AW 1.1","2708","AW 1.2","Length","0.35","m"
"surface","1567","IS 15.1","2201","Treppe","Area","0.01","m²"
"line","1567","IS 15.1","2539","DE 11.1","Length","0.05","m"
"line","1567","IS 15.1","3087","AW 1.1","Length","0.08","m"
"point","1567","IS 15.1","3150","Treppe","Point","N/A","N/A"
"line","1567","IS 15.1","4073","Tragwerk","Length","0.05","m"
"surface","1614","IS 15.2","2201","Treppe","Area","0.45","m²"
"line","1614","IS 15.2","2927","FA 2.2","Length","0.10","m"
"point","1614","IS 15.2","5622","Massivbau","Point","N/A","N/A"
"line","1648","AW 1.1","2510","DE 9.1","Length","2.47","m"
"surface","1648","AW 1.1","2708","AW 1.2","","",""
"line","1677","IW 3.2","2316","Tür 17.1","Length","0.20","m"
"surface","1677","IW 3.2","2510","DE 9.1","","",""
"surface","1677","IW 3.2","2539","DE 11.1","","",""
"line","1677","IW 3.2","3204","IW 3.2","Length","0.20","m"
"surface","1677","IW 3.2","3620","Tragwerk","","",""
"line","1734","IW 3.4","2288","DE 9.2","Length","3.23","m"
"surface","1734","IW 3.4","2510","DE 9.1","Area","0.65","m²"
"point","1734","IW 3.4","2678","Tür 17.2","Point","N/A","N/A"
"surface","1769","AW 1.1","2260","Tür 17.3","Area","3.79","m²"
"surface","1769","AW 1.1","3034","Fenster 16.1","Area","3.46","m²"
"surface","1769","AW 1.1","3119","AW 1.1","Area","1.30","m²"
"surface","1806","Fenster 16.2","2708","AW 1.2","Area","4.11","m²"
"surface","1830","FA 2.2","2927","FA 2.2","Area","0.63","m²"
"surface","1867","Fenster 16.3","2785","DA 13.2","Area","0.90","m²"
"surface","1920","IW 3.2","2510","DE 9.1","","",""
"surface","1920","IW 3.2","2539","DE 11.1","","",""
"line","1920","IW 3.2","2841","Tür 17.1","Length","0.20","m"
"surface","1920","IW 3.2","5338","Tragwerk","","",""
"point","1949","AW 1.1","2510","DE 9.1","Point","N/A","N/A"
"surface","1978","AW 1.1","2708","AW 1.2","","",""
"surface","2006","DA 13.1","2149","DA 13.1","Area","0.94","m²"
"surface","2006","DA 13.1","2785","DA 13.2","","",""
"line","2035","IW 3.2","2433","IW 3.1","Length","2.79","m"
"surface","2035","IW 3.2","2462","Tür 17.1","Area","2.09","m²"
"surface","2035","IW 3.2","2510","DE 9.1","Area","0.27","m²"
"surface","2035","IW 3.2","2539","DE 11.1","Area","0.36","m²"
"line","2035","IW 3.2","2973","IW 3.3","Length","2.79","m"
"point","2035","IW 3.2","3150","Treppe","Point","N/A","N/A"
"surface","2035","IW 3.2","5338","Tragwerk","Area","0.27","m²"
"surface","2068","Fenster 16.3","2785","DA 13.2","Area","0.90","m²"
"surface","2092","Fenster 16.2","2396","FA 2.1","Area","5.15","m²"
"line","2092","Fenster 16.2","3403","Massivbau","Length","2.11","m"
"line","2092","Fenster 16.2","4542","Massivbau","Length","2.44","m"
"line","2092","Fenster 16.2","5706","Massivbau","Length","2.11","m"
"surface","2116","AW 1.2","2340","AW 1.1","","",""
"line","2116","AW 1.2","2510","DE 9.1","Length","2.17","m"
"surface","2116","AW 1.2","3087","AW 1.1","Area","0.09","m²"
"point","2116","AW 1.2","3562","Tragwerk","Point","N/A","N/A"
"surface","2149","DA 13.1","2785","DA 13.2","Area","2.56","m²"
"surface","2149","DA 13.1","3063","DA 13.1","Area","0.41","m²"
"surface","2177","Fenster 16.3","2785","DA 13.2","Area","0.90","m²"
"line","2201","Treppe","2364","FA 2.1","Length","4.83","m"
"surface","2201","Treppe","2539","DE 11.1","Area","0.14","m²"
"surface","2236","Fenster 16.3","2785","DA 13.2","Area","0.90","m²"
"line","2288","DE 9.2","4274","Tragwerk","Length","0.30","m"
"line","2288","DE 9.2","5541","Tragwerk","Length","4.10","m"
"surface","2316","Tür 17.1","2539","DE 11.1","Area","0.16","m²"
"surface","2316","Tür 17.1","3204","IW 3.2","Area","1.75","m²"
"line","2340","AW 1.1","2510","DE 9.1","Length","2.47","m"
"line","2340","AW 1.1","2708","AW 1.2","Length","0.35","m"
"line","2396","FA 2.1","2927","FA 2.2","Length","0.26","m"
"line","2396","FA 2.1","3369","Massivbau","Length","2.44","m"
"line","2396","FA 2.1","3403","Massivbau","Length","6.75","m"
"line","2396","FA 2.1","4542","Massivbau","Length","2.44","m"
"line","2396","FA 2.1","5706","Massivbau","Length","6.75","m"
"line","2396","FA 2.1","5739","Massivbau","Length","2.44","m"
"surface","2433","IW 3.1","2510","DE 9.1","","",""
"surface","2433","IW 3.1","2539","DE 11.1","","",""
"point","2433","IW 3.1","3150","Treppe","Point","N/A","N/A"
"surface","2462","Tür 17.1","2539","DE 11.1","","",""
"surface","2486","Fenster 16.3","2785","DA 13.2","Area","0.90","m²"
"line","2510","DE 9.1","2708","AW 1.2","Length","0.25","m"
"point","2510","DE 9.1","2894","IW 3.1","Point","N/A","N/A"
"line","2510","DE 9.1","3087","AW 1.1","Length","5.10","m"
"line","2539","DE 11.1","2708","AW 1.2","Length","0.14","m"
"surface","2539","DE 11.1","2841","Tür 17.1","Area","0.27","m²"
"line","2539","DE 11.1","2894","IW 3.1","Length","0.14","m"
"surface","2539","DE 11.1","3204","IW 3.2","Area","1.15","m²"
"line","2622","IW 3.2","3087","AW 1.1","Length","0.04","m"
"surface","2749","DA 14.2","2927","FA 2.2","Area","0.58","m²"
"line","2785","DA 13.2","3063","DA 13.1","Length","2.53","m"
"surface","2973","IW 3.3","3204","IW 3.2","","",""
"line","2973","IW 3.3","3620","Tragwerk","Length","0.20","m"
"line","2973","IW 3.3","5338","Tragwerk","Length","0.20","m"
"surface","3119","AW 1.1","3270","Fenster 16.1","Area","6.34","m²"
"point","3119","AW 1.1","5767","Tragwerk","Point","N/A","N/A"
"surface","3204","IW 3.2","3620","Tragwerk","","",""
"surface","3369","Massivbau","3403","Massivbau","","",""
"line","3369","Massivbau","3587","Massivbau","Length","2.44","m"
"surface","3369","Massivbau","5706","Massivbau","","",""
"point","3403","Massivbau","4542","Massivbau","Point","N/A","N/A"
"line","3403","Massivbau","5622","Massivbau","Length","11.50","m"
"point","3403","Massivbau","5739","Massivbau","Point","N/A","N/A"
"surface","3587","Massivbau","5622","Massivbau","Area","0.49","m²"
"surface","3587","Massivbau","5706","Massivbau","","",""
"line","4542","Massivbau","5590","Massivbau","Length","2.44","m"
"surface","4542","Massivbau","5706","Massivbau","","",""
"surface","5209","Massivbau","5706","Massivbau","Area","1.36","m²"
"surface","5590","Massivbau","5622","Massivbau","Area","0.37","m²"
"surface","5590","Massivbau","5706","Massivbau","Area","0.92","m²"
"surface","5622","Massivbau","5706","Massivbau","","",""
"point","5706","Massivbau","5739","Massivbau","Point","N/A","N/A"
"surface","3654","Tragwerk","3700","Tragwerk","Area","0.05","m²"
"line","3654","Tragwerk","3866","Tragwerk","Length","0.20","m"
"line","3654","Tragwerk","3939","Tragwerk","Length","0.20","m"
"surface","3654","Tragwerk","4635","Tragwerk","Area","0.04","m²"
"line","3831","Tragwerk","5049","Tragwerk","Length","6.41","m"
"line","4073","Tragwerk","4833","Tragwerk","Length","6.41","m"
"surface","4470","Tragwerk","3467","Tragwerk","Area","0.05","m²"
"line","4470","Tragwerk","5015","Tragwerk","Length","0.20","m"
"line","4470","Tragwerk","5074","Tragwerk","Length","0.20","m"
"surface","4470","Tragwerk","5133","Tragwerk","Area","0.04","m²"
"surface","4506","Tragwerk","4232","Tragwerk","Area","0.05","m²"
"line","4506","Tragwerk","4701","Tragwerk","Length","0.20","m"
"surface","4506","Tragwerk","4735","Tragwerk","Area","0.04","m²"
"line","4506","Tragwerk","4978","Tragwerk","Length","0.20","m"
